model,lat,lon,taw,organic_carbon,cec,ph,sand_pct,bulk_density,awc,texture_class,cluster
gmm,7.285502147717,79.96491119384,6.294931098818782,2.941226602921801,15.752798090365028,5.495509306589763,80.10443760536114,1.5209901332855225,0.0419662073254585,Loamy sand,2
kmeans,7.285502147717,79.97433898925,6.711903959512714,2.8267602033858545,15.465233451058182,5.497089385986328,79.74603308911908,1.520375370979309,0.0447460263967514,Loamy sand,2
agglomerative,7.285502147717,79.97433898925,6.711903959512714,2.8267602033858545,15.465233451058182,5.497089385986328,79.74603308911908,1.520375370979309,0.0447460263967514,Loamy sand,3
gmm,7.285502147717,79.97433898925,6.711903959512714,2.8267602033858545,15.465233451058182,5.497089385986328,79.74603308911908,1.520375370979309,0.0447460263967514,Loamy sand,2
kmeans,7.285502147717,79.98376678465999,6.772774830460552,2.822171610385846,15.463108203645444,5.492209593454997,79.39869442321921,1.5198270082473757,0.0451518322030703,Loamy sand,2
agglomerative,7.285502147717,79.98376678465999,6.772774830460552,2.822171610385846,15.463108203645444,5.492209593454997,79.39869442321921,1.5198270082473757,0.0451518322030703,Loamy sand,3
gmm,7.285502147717,79.98376678465999,6.772774830460552,2.822171610385846,15.463108203645444,5.492209593454997,79.39869442321921,1.5198270082473757,0.0451518322030703,Loamy sand,2
kmeans,7.285502147717,79.99319458007,6.835313141345987,2.817458472066234,15.46091822881059,5.487800121307373,79.06413147291823,1.5193530718485515,0.0455687542756399,Loamy sand,2
agglomerative,7.285502147717,79.99319458007,6.835313141345987,2.817458472066234,15.46091822881059,5.487800121307373,79.06413147291823,1.5193530718485515,0.0455687542756399,Loamy sand,3
gmm,7.285502147717,79.99319458007,6.835313141345987,2.817458472066234,15.46091822881059,5.487800121307373,79.06413147291823,1.5193530718485515,0.0455687542756399,Loamy sand,2
kmeans,7.285502147717,80.00262237548,6.899403408169754,2.812665544334401,15.458552423621729,5.483888626098633,78.74408001681019,1.5181405544281006,0.0459960227211316,Loamy sand,2
agglomerative,7.285502147717,80.00262237548,6.899403408169754,2.812665544334401,15.458552423621729,5.483888626098633,78.74408001681019,1.5181405544281006,0.0459960227211316,Loamy sand,3
gmm,7.285502147717,80.00262237548,6.899403408169754,2.812665544334401,15.458552423621729,5.483888626098633,78.74408001681019,1.5181405544281006,0.0459960227211316,Loamy sand,2
kmeans,7.285502147717,80.01205017088999,7.131977751851079,2.739387484952202,14.808632063220438,5.42529821395874,78.4387132051297,1.5178821086883545,0.0475465183456738,Loamy sand,2
agglomerative,7.285502147717,80.01205017088999,7.131977751851079,2.739387484952202,14.808632063220438,5.42529821395874,78.4387132051297,1.5178821086883545,0.0475465183456738,Loamy sand,3
gmm,7.285502147717,80.01205017088999,7.131977751851079,2.739387484952202,14.808632063220438,5.42529821395874,78.4387132051297,1.5178821086883545,0.0475465183456738,Loamy sand,2
kmeans,7.285502147717,80.0214779663,7.209082692861551,2.7338685078415224,14.805780438490492,5.420167605082194,78.14907424417943,1.5177195072174072,0.0480605512857436,Loamy sand,2
agglomerative,7.285502147717,80.0214779663,7.209082692861551,2.7338685078415224,14.805780438490492,5.420167605082194,78.14907424417943,1.5177195072174072,0.0480605512857436,Loamy sand,3
gmm,7.285502147717,80.0214779663,7.209082692861551,2.7338685078415224,14.805780438490492,5.420167605082194,78.14907424417943,1.5177195072174072,0.0480605512857436,Loamy sand,2
kmeans,7.285502147717,80.03090576171,7.287540286779395,2.728279778303677,14.802892587169548,5.415521621704102,77.87559315165532,1.517656723658244,0.0485836019118626,Loamy sand,2
agglomerative,7.285502147717,80.03090576171,7.287540286779395,2.728279778303677,14.802892587169548,5.415521621704102,77.87559315165532,1.517656723658244,0.0485836019118626,Loamy sand,3
gmm,7.285502147717,80.03090576171,7.287540286779395,2.728279778303677,14.802892587169548,5.415521621704102,77.87559315165532,1.517656723658244,0.0485836019118626,Loamy sand,2
kmeans,7.285502147717,80.04033355712,7.367162406444553,2.7226352537497043,14.79997628267742,5.411359469095866,77.61851143377815,1.517696777979533,0.0491144160429636,Loamy sand,2
agglomerative,7.285502147717,80.04033355712,7.367162406444553,2.7226352537497043,14.79997628267742,5.411359469095866,77.61851143377815,1.517696777979533,0.0491144160429636,Loamy sand,3
gmm,7.285502147717,80.04033355712,7.367162406444553,2.7226352537497043,14.79997628267742,5.411359469095866,77.61851143377815,1.517696777979533,0.0491144160429636,Loamy sand,2
kmeans,7.285502147717,80.04976135253,7.447756081819534,2.7169476935114973,14.797037443889998,5.407673517862956,77.37791806149717,1.5178415377934773,0.0496517072121302,Loamy sand,2
agglomerative,7.285502147717,80.04976135253,7.447756081819534,2.7169476935114973,14.797037443889998,5.407673517862956,77.37791806149717,1.5178415377934773,0.0496517072121302,Loamy sand,3
gmm,7.285502147717,80.04976135253,7.447756081819534,2.7169476935114973,14.797037443889998,5.407673517862956,77.37791806149717,1.5178415377934773,0.0496517072121302,Loamy sand,2
kmeans,7.285502147717,80.06861694335,8.27249586582184,2.6083082776368927,15.180856096365265,5.401554266611735,76.94860631463735,1.503123124440511,0.0551499724388122,Loamy sand,0
agglomerative,7.285502147717,80.06861694335,8.27249586582184,2.6083082776368927,15.180856096365265,5.401554266611735,76.94860631463735,1.503123124440511,0.0551499724388122,Loamy sand,1
gmm,7.285502147717,80.06861694335,8.27249586582184,2.6083082776368927,15.180856096365265,5.401554266611735,76.94860631463735,1.503123124440511,0.0551499724388122,Loamy sand,0
kmeans,7.285502147717,80.07804473876,8.513666689395901,2.7207165948441685,15.177556640486848,5.397898674011231,76.7572959738457,1.5028682947158811,0.056757777929306,Loamy sand,0
agglomerative,7.285502147717,80.07804473876,8.513666689395901,2.7207165948441685,15.177556640486848,5.397898674011231,76.7572959738457,1.5028682947158811,0.056757777929306,Loamy sand,1
gmm,7.285502147717,80.07804473876,8.513666689395901,2.7207165948441685,15.177556640486848,5.397898674011231,76.7572959738457,1.5028682947158811,0.056757777929306,Loamy sand,0
kmeans,7.285502147717,80.08747253417,8.63544642925262,2.715495969511781,15.168163639471484,5.394618034362793,75.53970172945188,1.4408406019210815,0.0575696428616841,Loamy sand,0
agglomerative,7.285502147717,80.08747253417,8.63544642925262,2.715495969511781,15.168163639471484,5.394618034362793,75.53970172945188,1.4408406019210815,0.0575696428616841,Loamy sand,1
gmm,7.285502147717,80.08747253417,8.63544642925262,2.715495969511781,15.168163639471484,5.394618034362793,75.53970172945188,1.4408406019210815,0.0575696428616841,Loamy sand,0
kmeans,7.285502147717,80.09690032958,8.53089541196823,2.578757970826555,15.16572459850397,5.391692161560059,75.37973481029088,1.4547922611236572,0.0568726360797881,Loamy sand,0
agglomerative,7.285502147717,80.09690032958,8.53089541196823,2.578757970826555,15.16572459850397,5.391692161560059,75.37973481029088,1.4547922611236572,0.0568726360797881,Loamy sand,1
gmm,7.285502147717,80.09690032958,8.53089541196823,2.578757970826555,15.16572459850397,5.391692161560059,75.37973481029088,1.4547922611236572,0.0568726360797881,Loamy sand,0
kmeans,7.285502147717,80.10632812499,8.645946532487875,2.570745195848427,15.16229934076098,5.389100233713786,75.24086388376529,1.453567385673523,0.0576396435499191,Loamy sand,0
agglomerative,7.285502147717,80.10632812499,8.645946532487875,2.570745195848427,15.16229934076098,5.389100233713786,75.24086388376529,1.453567385673523,0.0576396435499191,Loamy sand,1
gmm,7.285502147717,80.10632812499,8.645946532487875,2.570745195848427,15.16229934076098,5.389100233713786,75.24086388376529,1.453567385673523,0.0576396435499191,Loamy sand,0
